IBOV - Carteira do Dia 18/04/22;;;;
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
MRVE3;MRV;ON      NM;294.643.879;0,15
MULT3;MULTIPLAN;ON      N2;272.718.548;0,302
PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,172
PETR3;PETROBRAS;ON  EDR N2;2.703.343.822;4,324
PETR4;PETROBRAS;PN  EDR N2;4.566.442.248;6,572
PRIO3;PETRORIO;ON      NM;839.159.130;0,962
PETZ3;PETZ;ON      NM;301.553.522;0,224
POSI3;POSITIVO TEC;ON      NM;78.053.723;0,03
QUAL3;QUALICORP;ON      NM;277.027.077;0,183
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,097
RDOR3;REDE D OR;ON      NM;562.360.943;1,099
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;1,03
SBSP3;SABESP;ON      NM;340.001.934;0,787
SANB11;SANTANDER BR;UNT;362.703.399;0,583
CSNA3;SID NACIONAL;ON;642.398.790;0,752
SULA11;SUL AMERICA;UNT     N2;284.771.028;0,392
SUZB3;SUZANO S.A.;ON      NM;726.779.281;1,794
TAEE11;TAESA;UNT     N2;218.568.234;0,446
VIVT3;TELEF BRASIL;ON;433.476.952;1,072
TIMS3;TIM;ON      NM;808.619.532;0,508
TOTS3;TOTVS;ON      NM;519.851.955;0,837
UGPA3;ULTRAPAR;ON      NM;1.085.952.374;0,751
USIM5;USIMINAS;PNA     N1;514.680.651;0,306
VALE3;VALE;ON      NM;3.843.570.705;16,292
VIIA3;VIA;ON      NM;1.596.295.753;0,251
VBBR3;VIBRA;ON      NM;1.131.883.365;1,182
WEGE3;WEG;ON      NM;1.484.859.030;2,207
YDUQ3;YDUQS PART;ON      NM;300.833.122;0,239
Quantidade Teórica Total;;;95.499.893.866;100
Redutor;;;18.700.105,98;
